City,Neighborhood,price,rooms,price_per_room,price_per_sqm
Tel Aviv,Old North Southeast,18000.0,4.0,4500.0,180.0
Tel Aviv,Old North Southeast,7500.0,2.5,3000.0,107.14
Tel Aviv,Old North Southeast,12800.0,4.0,3200.0,128.0
Tel Aviv,Old North Southeast,9000.0,3.0,3000.0,112.5
Tel Aviv,Old North Southeast,15000.0,3.0,5000.0,150.0
Tel Aviv,Old North Southeast,8100.0,3.0,2700.0,135.0
Tel Aviv,Old North Southeast,7000.0,2.0,3500.0,116.67
Tel Aviv,Old North Southeast,6750.0,2.0,3375.0,150.0
Tel Aviv,Old North Southeast,6500.0,2.0,3250.0,130.0
Tel Aviv,Old North Southeast,10500.0,2.0,5250.0,140.0
Tel Aviv,Old North Southeast,9800.0,3.0,3266.67,115.29
Tel Aviv,Old North Southeast,11000.0,3.5,3142.86,157.14
Tel Aviv,Old North Central,10500.0,3.0,3500.0,136.36
Tel Aviv,Old North Southeast,12900.0,3.0,4300.0,129.0
Tel Aviv,Old North Southeast,10500.0,3.0,3500.0,143.84
Tel Aviv,Old North Southeast,7200.0,2.0,3600.0,128.57
Tel Aviv,Old North Southeast,12900.0,3.0,4300.0,198.46
Tel Aviv,Old North Southeast,13000.0,4.0,3250.0,132.65
Tel Aviv,Old North Southeast,9300.0,3.0,3100.0,116.25
Tel Aviv,Old North Southeast,9300.0,3.0,3100.0,109.41
Tel Aviv,Old North Southeast,7400.0,2.5,2960.0,113.85
Tel Aviv,Old North Southeast,14200.0,2.0,7100.0,161.36
Tel Aviv,Old North Southeast,7500.0,2.0,3750.0,150.0
Tel Aviv,Old North Southeast,15000.0,3.0,5000.0,166.67
Tel Aviv,Old North Southeast,10700.0,3.0,3566.67,133.75
Tel Aviv,Old North Southeast,9000.0,3.5,2571.43,94.74
Tel Aviv,Old North Southeast,40000.0,5.5,7272.73,166.67
Tel Aviv,Old North Southeast,11000.0,3.0,3666.67,137.5
Tel Aviv,Bitzaron,9200.0,3.0,3066.67,131.43
Tel Aviv,New North North,9200.0,3.0,3066.67,131.43
Tel Aviv,Old North Central,16000.0,4.0,4000.0,118.52
Tel Aviv,New North - Kikar HaMedina,11000.0,3.0,3666.67,129.41
Tel Aviv,Shikun Amami Gimel,5500.0,2.0,2750.0,87.3
Tel Aviv,New North South,14000.0,3.0,4666.67,132.08
Tel Aviv,Sarona,9000.0,2.0,4500.0,160.71
Tel Aviv,Ramat Aviv Gimel,12800.0,4.0,3200.0,98.46
Tel Aviv,New North North,14500.0,3.0,4833.33,166.67
Tel Aviv,Ramat Aviv Gimel,16000.0,5.0,3200.0,117.65
Tel Aviv,Central Jaffa,11250.0,3.0,3750.0,118.42
Tel Aviv,Kiryat Shalom,7500.0,4.0,1875.0,89.29
Tel Aviv,Sarona,11900.0,4.0,2975.0,132.22
Tel Aviv,Ramat Aviv Gimel,8550.0,3.0,2850.0,106.88
Tel Aviv,Shapira,5600.0,2.5,2240.0,86.15
Tel Aviv,Shikun Bavli,10800.0,4.0,2700.0,93.91
Tel Aviv,Dakar,5800.0,3.0,1933.33,72.5
Tel Aviv,Sarona,14000.0,4.0,3500.0,135.92
Tel Aviv,Neve Shaanan,5600.0,3.0,1866.67,112.0
Tel Aviv,New North - Kikar HaMedina,12300.0,4.0,3075.0,87.86
Tel Aviv,New North South,7200.0,4.0,1800.0,80.0
Tel Aviv,Hatikva,5900.0,3.0,1966.67,67.82
Tel Aviv,Kiryat Shalom,8500.0,3.5,2428.57,53.12
Tel Aviv,Tel Haim,7000.0,4.0,1750.0,70.0
Tel Aviv,New North - Kikar HaMedina,13000.0,4.0,3250.0,125.0
Tel Aviv,Kerem HaTeimanim,12900.0,4.0,3225.0,143.33
Tel Aviv,New North North,8300.0,2.0,4150.0,184.44
Tel Aviv,New North North,9500.0,4.0,2375.0,100.0
Tel Aviv,Kerem HaTeimanim,11700.0,3.0,3900.0,146.25
Tel Aviv,Park Tzameret,40000.0,4.5,8888.89,200.0
Tel Aviv,Northern Business District,12000.0,4.0,3000.0,109.09
Tel Aviv,Yad Eliyahu,6000.0,3.0,2000.0,93.75
Tel Aviv,Neve Shaanan,5500.0,2.0,2750.0,91.67
Tel Aviv,Neve Shaanan,5300.0,3.0,1766.67,96.36
Tel Aviv,Neve Ofer,5500.0,3.5,1571.43,91.67
Tel Aviv,Montefiore,13500.0,3.0,4500.0,90.0
Tel Aviv,Tel Baruch North,9250.0,3.5,2642.86,102.78
Tel Aviv,Hadar Yosef,7500.0,3.0,2500.0,107.14
Tel Aviv,Ezra & HaArgazim,4200.0,2.0,2100.0,105.0
