City,Neighborhood,price,rooms,price_per_room,price_per_sqm
Jerusalem,Talbiya,10000.0,3.5,2857.14,90.91
Jerusalem,Talbiya,49500.0,6.0,8250.0,183.33
Jerusalem,Talbiya,15000.0,4.0,3750.0,125.0
Jerusalem,Old Katamon,25500.0,4.0,6375.0,145.71
Jerusalem,Kiryat Shmuel,8500.0,3.5,2428.57,123.19
Jerusalem,German Colony,16450.0,4.0,4112.5,126.54
Jerusalem,German Colony,30000.0,6.0,5000.0,150.0
Jerusalem,German Colony,10000.0,1.5,6666.67,111.11
Jerusalem,German Colony,10000.0,1.5,6666.67,111.11
Jerusalem,German Colony,12000.0,3.0,4000.0,100.0
Jerusalem,German Colony,30000.0,8.0,3750.0,150.0
Jerusalem,German Colony,5000.0,7.0,714.29,29.41
Jerusalem,German Colony,35000.0,6.0,5833.33,140.0
Jerusalem,Old Katamon,20000.0,5.0,4000.0,153.85
Jerusalem,Nahlaot,21500.0,5.5,3909.09,148.28
Jerusalem,Nahlaot,7500.0,3.0,2500.0,150.0
Jerusalem,Nahlaot,8800.0,4.0,2200.0,77.19
Jerusalem,Nahlaot,11000.0,4.0,2750.0,95.65
Jerusalem,Nahlaot,6500.0,2.0,3250.0,135.42
Jerusalem,Nahlaot,6500.0,2.0,3250.0,130.0
Jerusalem,Nahlaot,9500.0,3.0,3166.67,95.0
Jerusalem,קרית הלאום,9450.0,2.0,4725.0,157.5
Jerusalem,Mekor Baruch,21000.0,5.0,4200.0,150.0
Jerusalem,Mekor Baruch,40000.0,5.0,8000.0,133.33
Jerusalem,Old Katamon,6600.0,3.0,2200.0,94.29
Jerusalem,Kiryat HaYovel,9000.0,4.0,2250.0,76.27
Jerusalem,Mekor Haim,11000.0,4.0,2750.0,72.37
Jerusalem,Katamon A-F,8500.0,5.5,1545.45,73.28
Jerusalem,Malha,30000.0,8.0,3750.0,85.71
Jerusalem,Givat Massua,6700.0,3.0,2233.33,90.54
Jerusalem,Katamon H-I,4500.0,3.0,1500.0,75.0
Jerusalem,Rasko (Givat HaVradim),7500.0,3.5,2142.86,83.33
Jerusalem,Ramat Sharett,5200.0,2.0,2600.0,104.0
Jerusalem,Mekor Haim,6000.0,2.0,3000.0,122.45
Jerusalem,Gilo,5900.0,4.0,1475.0,69.41
Jerusalem,Kiryat HaYovel,6500.0,4.0,1625.0,65.0
Jerusalem,Ramat Sharett,6000.0,3.0,2000.0,109.09
Jerusalem,Katamon H-I,4000.0,2.0,2000.0,100.0
Jerusalem,Kiryat HaYovel,10000.0,5.0,2000.0,66.67
Jerusalem,Givat Mordechai,7500.0,4.5,1666.67,94.94
Jerusalem,Kiryat HaYovel,7500.0,5.0,1500.0,71.43
Jerusalem,Katamon A-F,10500.0,4.0,2625.0,120.69
Jerusalem,Gilo,6500.0,3.0,2166.67,83.33
Jerusalem,Holyland Complex,12500.0,4.0,3125.0,96.15
Jerusalem,Malha,4950.0,3.0,1650.0,99.0
Jerusalem,Ramat Sharett,19000.0,6.5,2923.08,27.54
Jerusalem,Katamon H-I,8400.0,4.0,2100.0,82.35
Jerusalem,Katamon H-I,4550.0,3.5,1300.0,65.0
Jerusalem,Kiryat HaYovel,12000.0,5.0,2400.0,96.0
